event_id,state_path,state_index,clim_path,clim_index,lat,lon
track_m092_t00040_1986021812_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_1986_plev.nc,194,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,194,48.62193,182.45971199999997
track_m092_t00071_1987012600_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_1987_plev.nc,100,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,100,44.125341,11.244686000000002
track_m092_t00107_1988022718_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_1988_plev.nc,231,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,231,43.058437,282.119485
track_m092_t00173_1990022712_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_1990_plev.nc,230,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,230,53.368438,353.636297
track_m092_t00234_1991121800_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_1991_plev.nc,1404,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,1404,52.267893,339.076181
track_m092_t00263_1992121506_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_1992_plev.nc,1393,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,1393,48.433841,247.10243300000002
track_m092_t00327_1995021812_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_1995_plev.nc,194,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,194,44.116401,0.2687760000000025
track_m092_t00387_1996123012_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_1996_plev.nc,1454,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,1454,41.525481,173.660055
track_m092_t00453_1998120600_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_1998_plev.nc,1356,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,1356,43.105833,289.169163
track_m092_t00495_2000010718_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_2000_plev.nc,27,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,27,48.77092,197.535842
track_m092_t00554_2001120500_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_2001_plev.nc,1352,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,1352,43.946748,181.49131899999998
track_m092_t00594_2003012718_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_2003_plev.nc,107,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,107,52.618248,38.41778299999999
track_m092_t00673_2004122506_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_2004_plev.nc,1433,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,1433,40.553301,191.589022
track_m092_t00678_2005021018_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_2005_plev.nc,163,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,163,46.852929,50.92309800000001
track_m092_t00724_2006020618_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_2006_plev.nc,147,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,147,48.431611,62.25885600000001
track_m092_t00757_2007021012_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_2007_plev.nc,162,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,162,47.710731,124.11652200000005
track_m092_t00827_2008122812_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_2008_plev.nc,1446,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,1446,42.315728,152.632515
track_m092_t00873_2010011712_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_2010_plev.nc,66,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,66,45.135575,130.311716
track_m092_t00908_2011011100_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_2011_plev.nc,40,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,40,52.089615,325.070502
track_m092_t00994_2013010318_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_2013_plev.nc,11,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,11,40.423163,55.31880999999999
track_m092_t01039_2014020512_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m92_2014_plev.nc,142,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,142,45.681775,138.08867699999996
track_m093_t00003_1985022206_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m93_1985_plev.nc,209,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,209,48.904113,218.595863
track_m093_t00033_1986012012_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m93_1986_plev.nc,78,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,78,54.544001,169.948752
track_m093_t00060_1986121712_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m93_1986_plev.nc,1402,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,1402,53.448781,338.893646
track_m093_t00093_1987122612_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m93_1987_plev.nc,1438,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,1438,47.823758,279.661023
track_m093_t00158_1989122806_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m93_1989_plev.nc,1445,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,1445,41.895558,27.188256
track_m093_t00187_1990120912_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m93_1990_plev.nc,1370,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,1370,51.728757,347.500216
track_m093_t00226_1992010300_dh+0,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/cesm2_lens2_wu9_nh/lens2_smbb_m93_1992_plev.nc,8,/net/flood/data2/users/x_yan/cesm-blocking/cesm_6hourly/clim/LENS2_smbb91_100_wu9_clim_6hourly_1985_2014.nc,8,51.630133,331.322169
