evt_name,track_id,lat0,lon0,base_ts,member
peak,m091_t00003,42.430546,37.78416099999998,1985-02-25 18:00:00,91
peak,m091_t00028,45.962269,-163.230232,1986-01-25 12:00:00,91
peak,m091_t00130,40.799986,165.586616,1988-12-30 12:00:00,91
peak,m091_t00178,41.097303,-166.00926000000004,1991-01-10 00:00:00,91
peak,m091_t00205,52.744676,-123.39331700000002,1992-02-06 06:00:00,91
peak,m091_t00259,51.088975,158.411025,1994-02-03 12:00:00,91
peak,m091_t00293,46.257804,175.09905700000002,1995-02-24 06:00:00,91
peak,m091_t00320,44.931032,37.279832,1996-01-04 18:00:00,91
peak,m091_t00356,45.356813,32.22445999999999,1997-02-15 18:00:00,91
peak,m091_t00473,53.202818,109.41886799999996,2000-01-25 12:00:00,91
peak,m091_t00504,45.491676,-170.669739,2001-01-26 12:00:00,91
peak,m091_t00534,50.940296,-33.02496500000001,2001-12-29 00:00:00,91
peak,m091_t00577,52.541591,-76.21498400000002,2003-02-02 00:00:00,91
peak,m091_t00606,54.025134,108.232714,2004-02-05 12:00:00,91
peak,m091_t00684,45.099462,20.88827900000001,2006-02-01 18:00:00,91
peak,m091_t00728,50.821553,-91.22105900000004,2007-02-08 06:00:00,91
peak,m091_t00770,53.189902,-33.72761200000002,2008-01-31 12:00:00,91
peak,m091_t00844,47.358583,163.61784,2009-12-01 00:00:00,91
peak,m091_t00888,45.672377,-43.282753000000014,2011-02-18 00:00:00,91
peak,m091_t00966,52.176143,-8.068463000000065,2012-12-24 12:00:00,91
peak,m091_t00975,40.362568,143.448109,2013-01-27 00:00:00,91
peak,m091_t01021,46.210535,3.0539949999999862,2014-02-15 00:00:00,91
peak,m092_t00040,48.62193,-177.54028800000003,1986-02-18 12:00:00,92
peak,m092_t00071,44.125341,11.244686000000002,1987-01-26 00:00:00,92
peak,m092_t00107,43.058437,-77.880515,1988-02-27 18:00:00,92
peak,m092_t00173,53.368438,-6.363702999999987,1990-02-27 12:00:00,92
peak,m092_t00234,52.267893,-20.92381899999998,1991-12-18 00:00:00,92
peak,m092_t00263,48.433841,-112.89756699999998,1992-12-15 06:00:00,92
peak,m092_t00327,44.116401,0.2687760000000025,1995-02-18 12:00:00,92
peak,m092_t00387,41.525481,173.660055,1996-12-30 12:00:00,92
peak,m092_t00453,43.105833,-70.83083699999997,1998-12-06 00:00:00,92
peak,m092_t00495,48.77092,-162.464158,2000-01-07 18:00:00,92
peak,m092_t00554,43.946748,-178.50868100000002,2001-12-05 00:00:00,92
peak,m092_t00594,52.618248,38.41778299999999,2003-01-27 18:00:00,92
peak,m092_t00673,40.553301,-168.410978,2004-12-25 06:00:00,92
peak,m092_t00678,46.852929,50.92309800000001,2005-02-10 18:00:00,92
peak,m092_t00724,48.431611,62.25885600000001,2006-02-06 18:00:00,92
peak,m092_t00757,47.710731,124.11652200000005,2007-02-10 12:00:00,92
peak,m092_t00827,42.315728,152.632515,2008-12-28 12:00:00,92
peak,m092_t00873,45.135575,130.311716,2010-01-17 12:00:00,92
peak,m092_t00908,52.089615,-34.929498000000024,2011-01-11 00:00:00,92
peak,m092_t00994,40.423163,55.31880999999999,2013-01-03 18:00:00,92
peak,m092_t01039,45.681775,138.08867699999996,2014-02-05 12:00:00,92
peak,m093_t00003,48.904113,-141.404137,1985-02-22 06:00:00,93
peak,m093_t00033,54.544001,169.948752,1986-01-20 12:00:00,93
peak,m093_t00060,53.448781,-21.10635400000001,1986-12-17 12:00:00,93
peak,m093_t00093,47.823758,-80.338977,1987-12-26 12:00:00,93
peak,m093_t00158,41.895558,27.188256,1989-12-28 06:00:00,93
peak,m093_t00187,51.728757,-12.499783999999975,1990-12-09 12:00:00,93
peak,m093_t00226,51.630133,-28.677831000000022,1992-01-03 00:00:00,93
